"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.016458422E0,1.340752989E-1,3.830722570E-1,9.797073364E0,9.805476380E0
1.020456808E0,1.532289088E-1,4.213795066E-1,9.816226959E0,9.826461800E0
1.024485809E0,1.436520964E-1,4.309563041E-1,9.806650162E0,9.817165918E0
1.028482041E0,1.340752989E-1,4.213795066E-1,9.806650162E0,9.816614705E0
1.032478965E0,1.532289088E-1,4.596867263E-1,9.864110947E0,9.876005050E0
1.036477812E0,1.532289088E-1,4.022258818E-1,9.787496567E0,9.796956354E0
1.040474659E0,1.436520964E-1,4.118026793E-1,9.816226959E0,9.825911107E0
1.044474353E0,1.532289088E-1,4.501099288E-1,9.835380554E0,9.846866948E0
1.048470738E0,1.436520964E-1,4.022258818E-1,9.825803757E0,9.835082158E0
1.052467662E0,1.436520964E-1,4.022258818E-1,9.777919769E0,9.787243565E0
1.056466125E0,1.244984865E-1,3.830722570E-1,9.797073364E0,9.805350108E0
1.060464203E0,9.576806426E-2,4.022258818E-1,9.797073364E0,9.805794393E0
1.064461742E0,1.436520964E-1,4.405331016E-1,9.730035782E0,9.741062655E0
1.068458666E0,1.628057212E-1,3.734954596E-1,9.835380554E0,9.843816090E0
1.072457821E0,1.915361285E-1,4.309563041E-1,9.806650162E0,9.817983338E0
1.076456899E0,1.053448766E-1,4.692635238E-1,9.816226959E0,9.828001705E0
1.080484900E0,2.011129409E-1,4.405331016E-1,9.777919769E0,9.789904537E0
1.084483055E0,1.244984865E-1,4.213795066E-1,9.825803757E0,9.835623012E0
1.088480211E0,2.011129409E-1,4.022258818E-1,9.825803757E0,9.836089240E0
1.092477135E0,1.628057212E-1,4.213795066E-1,9.777919769E0,9.788349269E0
1.096475597E0,6.703764945E-2,4.501099288E-1,9.749189377E0,9.759804634E0
1.100474445E0,2.106897533E-1,4.692635238E-1,9.835380554E0,9.848822725E0
1.104471599E0,1.723825186E-1,4.118026793E-1,9.816226959E0,9.826373130E0
1.108468293E0,1.915361285E-1,3.926490843E-1,9.806650162E0,9.816376459E0
1.112466371E0,8.619125932E-2,4.405331016E-1,9.797073364E0,9.807351572E0
1.116463295E0,1.340752989E-1,3.830722570E-1,9.864110947E0,9.872456903E0
1.120462142E0,1.436520964E-1,4.692635238E-1,9.844957352E0,9.857181617E0
1.124460912E0,1.149216816E-1,4.118026793E-1,9.777919769E0,9.787262306E0
1.128456221E0,2.106897533E-1,5.075707436E-1,9.825803757E0,9.841160384E0
1.132485453E0,2.106897533E-1,4.213795066E-1,9.749189377E0,9.760565781E0
1.136482454E0,1.340752989E-1,4.501099288E-1,9.835380554E0,9.846587520E0
1.140480916E0,1.723825186E-1,4.884171486E-1,9.739612579E0,9.753374813E0
